census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057011418,0.438596491,4.38596491,10.0,3.0,0.4195804195804196,5.0,0.4125412541254125,2017
12057011517,0.481481481,2.407407405,5.0,4.0,0.1550387596899224,3.0,0.0900360144057623,2017
12057011518,0.615384615,2.46153846,4.0,6.0,0.6012024048096193,0.0,0.0,2017
12057011519,0.0,0.0,0.0,1.0,0.1984126984126984,4.0,0.5412719891745602,2017
12057011520,0.533333333,6.933333329,13.0,4.0,0.4733727810650888,7.0,0.6092254134029591,2017
12057011521,0.515151515,4.636363635,9.0,1.0,0.3424657534246575,,,2017
12057011522,0.56,0.56,1.0,2.0,0.2493765586034912,1.0,0.0845308537616229,2017
12057011523,0.5,0.5,1.0,1.0,0.2331002331002331,,,2017
12057011524,0.47979798,19.67171718,41.0,0.0,0.0,1.0,0.1572327044025157,2017
12057011614,0.549295775,14.28169015,26.0,7.0,0.8,0.0,0.0,2017
12057011615,0.4704049839999999,15.052959488,32.0,2.0,0.4405286343612335,3.0,0.3994673768308922,2017
12057011709,0.461538462,5.076923082,11.0,2.0,1.7241379310344829,,,2017
12057013406,0.580645161,4.064516127,7.0,3.0,1.477832512315271,,,2017
12057013409,0.564102564,8.46153846,15.0,3.0,0.3275109170305676,4.0,0.3241491085899514,2017
12057013801,0.485294118,12.13235295,25.0,2.0,0.7722007722007722,1.0,0.2398081534772182,2017
12057014104,0.533333333,2.666666665,5.0,0.0,0.0,,,2017
12057010305,0.5792682929999999,20.274390255,35.0,2.0,0.4228329809725158,,,2017
12057010701,0.5824742270000001,12.814432994,22.0,6.0,0.713436385255648,1.0,0.0750187546886721,2017
12057011103,0.516129032,3.0967741920000003,6.0,5.0,0.5854800936768151,1.0,0.0783699059561128,2017
12057011408,0.607843137,8.509803918000001,14.0,3.0,0.7281553398058253,2.0,0.2928257686676427,2017
12057011413,0.488888889,5.866666668,12.0,9.0,0.8021390374331552,2.0,0.1299545159194282,2017
12057011608,0.75,0.75,1.0,0.0,0.0,2.0,0.4830917874396135,2017
12057011611,0.514705882,5.661764702,11.0,6.0,0.8534850640113799,5.0,0.4570383912248629,2017
12057012208,0.616216216,9.859459456,16.0,12.0,0.7104795737122558,3.0,0.1361161524500907,2017
12057013205,0.566666667,11.33333334,20.0,12.0,0.6928406466512702,12.0,0.529333921482135,2017
12057013208,0.444444444,1.333333332,3.0,4.0,0.3284072249589491,7.0,0.4270896888346553,2017
12057013305,0.5,3.0,6.0,8.0,0.7561436672967864,4.0,0.2752924982794218,2017
12057013407,0.411764706,7.411764708000001,18.0,11.0,0.7498295841854125,3.0,0.1375515818431912,2017
12057013802,0.5371900829999999,23.099173569,43.0,1.0,0.3048780487804878,0.0,0.0,2017
12057013803,0.460431655,11.97122303,26.0,1.0,0.9174311926605504,,,2017
12057014003,0.25,0.25,1.0,1.0,0.3174603174603174,1.0,0.1589825119236884,2017
12057014109,0.445945946,11.14864865,25.0,10.0,0.9208103130755064,6.0,0.3802281368821292,2017
12057013505,0.524475524,17.832167816,34.0,6.0,1.4962593516209477,,,2017
12057013702,0.5491803279999999,22.516393448,41.0,22.0,1.1207335710646968,10.0,0.3813882532418001,2017
12057013907,0.533333333,0.533333333,1.0,1.0,0.2538071065989847,,,2017
12057000500,0.395348837,0.790697674,2.0,7.0,0.8092485549132947,1.0,0.0719424460431654,2017
12057001200,0.428571429,10.714285725,25.0,4.0,1.2987012987012987,0.0,0.0,2017
12057001500,0.461538462,0.923076924,2.0,3.0,0.4231311706629055,,,2017
12057001600,0.634146341,1.902439023,3.0,3.0,0.8264462809917356,,,2017
12057011515,0.4583333329999999,2.291666665,5.0,11.0,1.3095238095238095,7.0,0.6065857885615251,2017
12057013001,0.492385787,24.619289350000003,50.0,0.0,0.0,1.0,0.1447178002894356,2017
12057000700,0.528114664,79.21719959999999,150.0,4.0,1.015228426395939,0.0,0.0,2017
12057003200,0.541666667,9.750000006,18.0,1.0,0.6211180124223602,,,2017
12057011107,0.486111111,2.430555555,5.0,10.0,0.8525149190110828,5.0,0.271591526344378,2017
12057011506,0.471910112,8.966292128000001,19.0,5.0,0.3369272237196766,10.0,0.4821600771456124,2017
12057012104,0.540983607,68.163934482,126.0,3.0,0.6012024048096193,1.0,0.1116071428571428,2017
12057011802,0.557377049,6.131147539,11.0,9.0,0.8093525179856115,3.0,0.186219739292365,2017
12057011804,0.609195402,10.965517236,18.0,3.0,0.4885993485342019,2.0,0.1839926402943882,2017
12057012108,0.561797753,7.303370789000001,13.0,7.0,1.1884550084889642,0.0,0.0,2017
12057012209,0.461538462,6.923076930000001,15.0,5.0,0.5458515283842794,6.0,0.4893964110929852,2017
12057012210,0.481012658,17.316455687999998,36.0,5.0,0.7112375533428165,4.0,0.2779708130646282,2017
12057012211,0.545454545,1.09090909,2.0,,,1.0,5.263157894736842,2017
12057012212,0.517985612,40.920863348000005,79.0,3.0,1.0309278350515465,2.0,0.5555555555555556,2017
12057012213,0.508196721,17.278688514000002,34.0,5.0,0.6353240152477764,0.0,0.0,2017
12057012503,0.609756098,15.243902449999998,25.0,4.0,0.5012531328320802,8.0,0.653061224489796,2017
12057010810,0.511764706,15.35294118,30.0,1.0,0.7142857142857143,0.0,0.0,2017
12057010811,0.507418398,38.563798248,76.0,1.0,0.2320185614849187,8.0,0.903954802259887,2017
12057010812,0.518115942,66.318840576,128.0,,,3.0,0.967741935483871,2017
12057010813,0.517426273,38.806970475,75.0,2.0,14.285714285714285,,,2017
